step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,origin_is_merchant,dest_is_merchant,amount_z,is_suspicious
1,TRANSFER,215310.3,C1670993182,705.0,0.0,C1100439041,22425.0,0.0,0,0,False,False,0.1211392622780733,True
1,TRANSFER,311685.89,C1984094095,10835.0,0.0,C932583850,6267.0,2719172.89,0,0,False,False,0.4010578863916385,True
1,TRANSFER,224606.64,C873175411,0.0,0.0,C766572210,354678.92,0.0,0,0,False,False,0.1481400692468494,True
1,TRANSFER,379856.23,C1449772539,0.0,0.0,C1590550415,900180.0,19169204.93,0,0,False,False,0.599055613597811,True
1,TRANSFER,1505626.01,C926859124,0.0,0.0,C665576141,29031.0,5515763.34,0,0,False,False,3.8688039791977613,True
1,TRANSFER,554026.99,C1603696865,0.0,0.0,C766572210,579285.56,0.0,0,0,False,False,1.104926856513304,True
1,TRANSFER,761507.39,C412788346,0.0,0.0,C1590550415,1280036.23,19169204.93,0,0,False,False,1.7075444705640417,True
1,TRANSFER,1429051.47,C1520267010,0.0,0.0,C1590550415,2041543.62,19169204.93,0,0,False,False,3.646396626060632,True
1,TRANSFER,358831.92,C908084672,0.0,0.0,C392292416,474384.53,3420103.09,0,0,False,False,0.5379914382382923,True
1,TRANSFER,367768.4,C288306765,0.0,0.0,C1359044626,370763.1,16518.36,0,0,False,False,0.5639470478072548,True
1,TRANSFER,209711.11,C1556867940,0.0,0.0,C1509514333,399214.71,2415.16,0,0,False,False,0.10487666340889457,True
1,TRANSFER,583848.46,C1839168128,0.0,0.0,C1286084959,667778.0,2107778.11,0,0,False,False,1.1915419926846513,True
1,TRANSFER,1724887.05,C1495608502,0.0,0.0,C1590550415,3470595.1,19169204.93,0,0,False,False,4.505637939316806,True
1,TRANSFER,710544.77,C835773569,0.0,0.0,C1359044626,738531.5,16518.36,0,0,False,False,1.5595258024384049,True
1,TRANSFER,581294.26,C843299092,0.0,0.0,C1590550415,5195482.15,19169204.93,0,0,False,False,1.1841234321372052,True
1,TRANSFER,330757.04,C1494346128,103657.0,0.0,C564160838,79676.0,1254956.07,0,0,False,False,0.45644919521022426,True
1,TRANSFER,679502.24,C722417467,290.0,0.0,C451111351,171866.0,3940085.21,0,0,False,False,1.4693641516863412,True
1,TRANSFER,480222.51,C201677908,11110.0,0.0,C451111351,1293740.67,3940085.21,0,0,False,False,0.8905650197139948,True
1,TRANSFER,522264.81,C1927963027,24.0,0.0,C1234776885,11361.0,2025098.66,0,0,False,False,1.0126750142735068,True
1,TRANSFER,211075.91,C1540894701,0.0,0.0,C564160838,930082.81,1254956.07,0,0,False,False,0.1088406644405894,True
1,TRANSFER,473499.51,C1198197478,0.0,0.0,C453211571,883248.39,3461666.05,0,0,False,False,0.8710383645732533,True
1,TRANSFER,1538200.39,C476579021,0.0,0.0,C1590550415,6977445.38,19169204.93,0,0,False,False,3.963414820293026,True
1,TRANSFER,2421578.09,C106297322,0.0,0.0,C1590550415,8515645.77,19169204.93,0,0,False,False,6.529146146623747,True
1,TRANSFER,1349670.68,C1419332030,0.0,0.0,C665576141,1538085.96,5515763.34,0,0,False,False,3.415838644336755,True
1,TRANSFER,314403.14,C1262110193,0.0,0.0,C1789550256,888232.25,4619798.56,0,0,False,False,0.4089500184281073,True
1,TRANSFER,1457213.54,C396918327,0.0,0.0,C1590550415,10937223.86,19169204.93,0,0,False,False,3.728192108574305,True
1,TRANSFER,445038.71,C547441493,0.0,0.0,C1531333864,802245.42,55974.56,0,0,False,False,0.7883752340318856,True
1,TRANSFER,1123206.66,C967677821,0.0,0.0,C451111351,1773963.18,3940085.21,0,0,False,False,2.7580839484679474,True
1,TRANSFER,438437.09,C977160959,0.0,0.0,C248609774,740675.45,6453430.91,0,0,False,False,0.7692011217144347,True
1,TRANSFER,928722.69,C1563053805,0.0,0.0,C985934102,1259119.8,971418.91,0,0,False,False,2.193213888585109,True
1,TRANSFER,1478772.04,C1464177809,0.0,0.0,C1170794006,1652668.12,22190.99,0,0,False,False,3.790807815082066,True
1,TRANSFER,2545478.01,C1057507014,0.0,0.0,C1590550415,12394437.4,19169204.93,0,0,False,False,6.889007965723176,True
1,TRANSFER,2061082.82,C2007599722,0.0,0.0,C1590550415,14939915.42,19169204.93,0,0,False,False,5.482103633287661,True
1,TRANSFER,983479.66,C2029780820,0.0,0.0,C1170794006,3131440.16,22190.99,0,0,False,False,2.352253077896716,True
1,TRANSFER,635507.97,C65080774,0.0,0.0,C747464370,834457.23,1567434.81,0,0,False,False,1.3415847468880857,True
1,TRANSFER,848231.57,C2116179210,0.0,0.0,C1170794006,4114919.82,22190.99,0,0,False,False,1.959431002651442,True
1,TRANSFER,739112.93,C1172535934,0.0,0.0,C564160838,1141158.73,1254956.07,0,0,False,False,1.6425007553352555,True
1,TRANSFER,324397.94,C1648700617,0.0,0.0,C932583850,373058.79,2719172.89,0,0,False,False,0.43797947147000577,True
1,TRANSFER,982862.81,C1765900922,0.0,0.0,C985934102,2187842.49,971418.91,0,0,False,False,2.3504614644468322,True
1,TRANSFER,955855.0,C94830685,0.0,0.0,C248609774,1179112.54,6453430.91,0,0,False,False,2.272018478878385,True
1,TRANSFER,420532.33,C582300198,5386.08,0.0,C1971489295,614566.02,0.0,0,0,False,False,0.7171975408877586,True
1,TRANSFER,276460.62,C1871680329,595.0,0.0,C1360767589,1105242.28,2107965.39,0,0,False,False,0.29874765293492145,True
1,TRANSFER,463722.76,C1734184086,349.0,0.0,C832279283,18285.39,185389.8,0,0,False,False,0.8426422280795385,True
1,TRANSFER,345698.98,C1453062635,40419.0,0.0,C997608398,20489.94,157982.12,0,0,False,False,0.4998473968335549,True
1,TRANSFER,637161.0,C1846982837,0.0,0.0,C1789550256,1166259.76,4619798.56,0,0,False,False,1.3463858991634539,True
1,TRANSFER,639378.37,C1135935001,0.0,0.0,C392292416,753824.15,3420103.09,0,0,False,False,1.3528261519240408,True
1,TRANSFER,1867849.02,C355885103,0.0,0.0,C665576141,2271538.11,5515763.34,0,0,False,False,4.920864636688669,True
1,TRANSFER,1193410.46,C1321115948,0.0,0.0,C1590550415,16471407.95,19169204.93,0,0,False,False,2.961987770001428,True
1,TRANSFER,348186.2,C706665172,0.0,0.0,C306206744,774212.55,3554299.27,0,0,False,False,0.5070714169434992,True
1,TRANSFER,1440296.14,C1649847375,0.0,0.0,C1590550415,17664818.4,19169204.93,0,0,False,False,3.679056271049691,True
1,TRANSFER,799483.57,C1153933106,0.0,0.0,C306206744,1122398.75,3554299.27,0,0,False,False,1.817844600033434,True
1,TRANSFER,969631.31,C2144067911,0.0,0.0,C248609774,2134967.54,6453430.91,0,0,False,False,2.312031159896078,True
1,TRANSFER,483544.3,C593447952,0.0,0.0,C1286084959,876379.19,2107778.11,0,0,False,False,0.9002130113516513,True
1,TRANSFER,326349.91,C1950136544,0.0,0.0,C564160838,778150.49,1254956.07,0,0,False,False,0.4436488817087493,True
1,TRANSFER,621561.65,C82275756,123122.0,0.0,C1782113663,0.0,3997768.55,0,0,False,False,1.3010782793702476,True
1,TRANSFER,411363.54,C1200048933,39951.0,0.0,C1049817027,52170.0,60738.03,0,0,False,False,0.6905671972334554,True
1,TRANSFER,1277212.77,C1334405552,1277212.77,0.0,C431687661,0.0,0.0,1,0,False,False,3.205387860343168,True
